Training Period,Testing Period,Training Error,Testing Error,Training Size,Testing Size
1,2,243,260,19071,22263
1,2,243,260,19071,22263
1,2,243,260,19071,22263
1,2,243,260,19071,22263
1,2,243,260,19071,22263
1,2,243,260,19071,22263
1,2,243,260,19071,22263
1,2,243,260,19071,22263
1,2,243,260,19071,22263
1,2,243,260,19071,22263
2,3,255,380,22263,21465
2,3,255,380,22263,21465
2,3,255,380,22263,21465
2,3,255,380,22263,21465
2,3,255,380,22263,21465
2,3,255,380,22263,21465
2,3,255,380,22263,21465
2,3,255,380,22263,21465
2,3,255,380,22263,21465
2,3,255,380,22263,21465
3,4,255,252,21465,21604
3,4,255,252,21465,21604
3,4,255,252,21465,21604
3,4,255,252,21465,21604
3,4,255,252,21465,21604
3,4,255,252,21465,21604
3,4,255,252,21465,21604
3,4,255,252,21465,21604
3,4,255,252,21465,21604
3,4,255,252,21465,21604
4,5,254,286,21604,22130
4,5,254,286,21604,22130
4,5,254,286,21604,22130
4,5,254,286,21604,22130
4,5,254,286,21604,22130
4,5,254,286,21604,22130
4,5,254,286,21604,22130
4,5,254,286,21604,22130
4,5,254,286,21604,22130
4,5,254,286,21604,22130
5,6,279,173,22130,20763
5,6,279,173,22130,20763
5,6,279,173,22130,20763
5,6,279,173,22130,20763
5,6,279,173,22130,20763
5,6,279,173,22130,20763
5,6,279,173,22130,20763
5,6,279,173,22130,20763
5,6,279,173,22130,20763
5,6,279,173,22130,20763
6,7,170,127,20763,17474
6,7,170,127,20763,17474
6,7,170,127,20763,17474
6,7,170,127,20763,17474
6,7,170,127,20763,17474
6,7,170,127,20763,17474
6,7,170,127,20763,17474
6,7,170,127,20763,17474
6,7,170,127,20763,17474
6,7,170,127,20763,17474
7,8,91,211,17474,21612
7,8,91,211,17474,21612
7,8,91,211,17474,21612
7,8,91,211,17474,21612
7,8,91,211,17474,21612
7,8,91,211,17474,21612
7,8,91,211,17474,21612
7,8,91,211,17474,21612
7,8,91,211,17474,21612
7,8,91,211,17474,21612
8,9,208,296,21612,22158
8,9,208,296,21612,22158
8,9,208,296,21612,22158
8,9,208,296,21612,22158
8,9,208,296,21612,22158
8,9,208,296,21612,22158
8,9,208,296,21612,22158
8,9,208,296,21612,22158
8,9,208,296,21612,22158
8,9,208,296,21612,22158
9,10,284,688,22158,23554
9,10,284,688,22158,23554
9,10,284,688,22158,23554
9,10,284,688,22158,23554
9,10,284,688,22158,23554
9,10,284,688,22158,23554
9,10,284,688,22158,23554
9,10,284,688,22158,23554
9,10,284,688,22158,23554
9,10,284,688,22158,23554
10,11,699,325,23554,24322
10,11,699,325,23554,24322
10,11,699,325,23554,24322
10,11,699,325,23554,24322
10,11,699,325,23554,24322
10,11,699,325,23554,24322
10,11,699,325,23554,24322
10,11,699,325,23554,24322
10,11,699,325,23554,24322
10,11,699,325,23554,24322
11,12,337,245,24322,22685
11,12,337,245,24322,22685
11,12,337,245,24322,22685
11,12,337,245,24322,22685
11,12,337,245,24322,22685
11,12,337,245,24322,22685
11,12,337,245,24322,22685
11,12,337,245,24322,22685
11,12,337,245,24322,22685
11,12,337,245,24322,22685
12,13,240,152,22685,18763
12,13,240,152,22685,18763
12,13,240,152,22685,18763
12,13,240,152,22685,18763
12,13,240,152,22685,18763
12,13,240,152,22685,18763
12,13,240,152,22685,18763
12,13,240,152,22685,18763
12,13,240,152,22685,18763
12,13,240,152,22685,18763
13,14,152,78,18763,15263
13,14,152,78,18763,15263
13,14,152,78,18763,15263
13,14,152,78,18763,15263
13,14,152,78,18763,15263
13,14,152,78,18763,15263
13,14,152,78,18763,15263
13,14,152,78,18763,15263
13,14,152,78,18763,15263
13,14,152,78,18763,15263
14,15,79,321,15263,19349
14,15,79,321,15263,19349
14,15,79,321,15263,19349
14,15,79,321,15263,19349
14,15,79,321,15263,19349
14,15,79,321,15263,19349
14,15,79,321,15263,19349
14,15,79,321,15263,19349
14,15,79,321,15263,19349
14,15,79,321,15263,19349
15,16,320,415,19349,24525
15,16,320,415,19349,24525
15,16,320,415,19349,24525
15,16,320,415,19349,24525
15,16,320,415,19349,24525
15,16,320,415,19349,24525
15,16,320,415,19349,24525
15,16,320,415,19349,24525
15,16,320,415,19349,24525
15,16,320,415,19349,24525
16,17,417,437,24525,23315
16,17,417,437,24525,23315
16,17,417,437,24525,23315
16,17,417,437,24525,23315
16,17,417,437,24525,23315
16,17,417,437,24525,23315
16,17,417,437,24525,23315
16,17,417,437,24525,23315
16,17,417,437,24525,23315
16,17,417,437,24525,23315
17,18,413,297,23315,43718
17,18,413,297,23315,43718
17,18,413,297,23315,43718
17,18,413,297,23315,43718
17,18,413,297,23315,43718
17,18,413,297,23315,43718
17,18,413,297,23315,43718
17,18,413,297,23315,43718
17,18,413,297,23315,43718
17,18,413,297,23315,43718
18,19,296,623,43718,25471
18,19,296,623,43718,25471
18,19,296,623,43718,25471
18,19,296,623,43718,25471
18,19,296,623,43718,25471
18,19,296,623,43718,25471
18,19,296,623,43718,25471
18,19,296,623,43718,25471
18,19,296,623,43718,25471
18,19,296,623,43718,25471
19,20,408,213,25471,21460
19,20,408,213,25471,21460
19,20,408,213,25471,21460
19,20,408,213,25471,21460
19,20,408,213,25471,21460
19,20,408,213,25471,21460
19,20,408,213,25471,21460
19,20,408,213,25471,21460
19,20,408,213,25471,21460
19,20,408,213,25471,21460
20,21,200,141,21460,18280
20,21,200,141,21460,18280
20,21,200,141,21460,18280
20,21,200,141,21460,18280
20,21,200,141,21460,18280
20,21,200,141,21460,18280
20,21,200,141,21460,18280
20,21,200,141,21460,18280
20,21,200,141,21460,18280
20,21,200,141,21460,18280
21,22,141,271,18280,20893
21,22,141,271,18280,20893
21,22,141,271,18280,20893
21,22,141,271,18280,20893
21,22,141,271,18280,20893
21,22,141,271,18280,20893
21,22,141,271,18280,20893
21,22,141,271,18280,20893
21,22,141,271,18280,20893
21,22,141,271,18280,20893
22,23,270,256,20893,24227
22,23,270,256,20893,24227
22,23,270,256,20893,24227
22,23,270,256,20893,24227
22,23,270,256,20893,24227
22,23,270,256,20893,24227
22,23,270,256,20893,24227
22,23,270,256,20893,24227
22,23,270,256,20893,24227
22,23,270,256,20893,24227
23,24,255,282,24227,24491
23,24,255,282,24227,24491
23,24,255,282,24227,24491
23,24,255,282,24227,24491
23,24,255,282,24227,24491
23,24,255,282,24227,24491
23,24,255,282,24227,24491
23,24,255,282,24227,24491
23,24,255,282,24227,24491
23,24,255,282,24227,24491
24,25,280,266,24491,20018
24,25,280,266,24491,20018
24,25,280,266,24491,20018
24,25,280,266,24491,20018
24,25,280,266,24491,20018
24,25,280,266,24491,20018
24,25,280,266,24491,20018
24,25,280,266,24491,20018
24,25,280,266,24491,20018
24,25,280,266,24491,20018
25,26,266,355,20018,26072
25,26,266,355,20018,26072
25,26,266,355,20018,26072
25,26,266,355,20018,26072
25,26,266,355,20018,26072
25,26,266,355,20018,26072
25,26,266,355,20018,26072
25,26,266,355,20018,26072
25,26,266,355,20018,26072
25,26,266,355,20018,26072
26,27,358,216,26072,21354
26,27,358,216,26072,21354
26,27,358,216,26072,21354
26,27,358,216,26072,21354
26,27,358,216,26072,21354
26,27,358,216,26072,21354
26,27,358,216,26072,21354
26,27,358,216,26072,21354
26,27,358,216,26072,21354
26,27,358,216,26072,21354
27,28,216,138,21354,20809
27,28,216,138,21354,20809
27,28,216,138,21354,20809
27,28,216,138,21354,20809
27,28,216,138,21354,20809
27,28,216,138,21354,20809
27,28,216,138,21354,20809
27,28,216,138,21354,20809
27,28,216,138,21354,20809
27,28,216,138,21354,20809
