Test Name,Scenario,TP,TN,FP,FN
Random 70%/30%,Testing,904,92127,702,334
Random 70%/30%,Oracle,2158,307299,2210,1888
Random 70%/30%,Testing,886,92016,840,325
Random 70%/30%,Oracle,2251,306597,2912,1795
Random 70%/30%,Testing,974,91937,839,317
Random 70%/30%,Oracle,2151,306612,2897,1895
Random 70%/30%,Testing,925,92003,809,330
Random 70%/30%,Oracle,2103,306838,2671,1943
Random 70%/30%,Testing,929,91967,822,349
Random 70%/30%,Oracle,2144,307040,2469,1902
Random 70%/30%,Testing,883,92151,710,323
Random 70%/30%,Oracle,2247,306518,2991,1799
Random 70%/30%,Testing,932,92009,785,341
Random 70%/30%,Oracle,2119,306865,2644,1927
Random 70%/30%,Testing,880,92013,852,322
Random 70%/30%,Oracle,2214,306509,3000,1832
Random 70%/30%,Testing,943,92064,756,304
Random 70%/30%,Oracle,2163,305650,3859,1883
Random 70%/30%,Testing,938,92009,791,329
Random 70%/30%,Oracle,2121,307071,2438,1925
Time-based 70%/30%,Testing,600,92319,656,491
Time-based 70%/30%,Oracle,2008,306756,2753,2038
Time-based 70%/30%,Testing,596,92326,649,495
Time-based 70%/30%,Oracle,1975,307191,2318,2071
Time-based 70%/30%,Testing,591,92336,639,500
Time-based 70%/30%,Oracle,1977,307449,2060,2069
Time-based 70%/30%,Testing,597,92332,643,494
Time-based 70%/30%,Oracle,1977,307357,2152,2069
Time-based 70%/30%,Testing,599,92298,677,492
Time-based 70%/30%,Oracle,2009,306171,3338,2037
Time-based 70%/30%,Testing,592,92325,650,499
Time-based 70%/30%,Oracle,1970,307610,1899,2076
Time-based 70%/30%,Testing,614,92347,628,477
Time-based 70%/30%,Oracle,2020,307410,2099,2026
Time-based 70%/30%,Testing,603,92283,692,488
Time-based 70%/30%,Oracle,2012,306776,2733,2034
Time-based 70%/30%,Testing,613,92296,679,478
Time-based 70%/30%,Oracle,1962,307441,2068,2084
Time-based 70%/30%,Testing,593,92292,683,498
Time-based 70%/30%,Oracle,1962,306593,2916,2084
